SHD,BDeu Score,dfMM,dfMM plus,dfMM minus,Total iterations,Total time(s),Network,Algorithm,Data Size (k),Threads,Interleaving
1,-21172.82070783263,0.8,0.0,4.0,2.0,0,cancer,hc,10,0,15
1,-21172.82070783263,0.8,0.0,4.0,2.0,0,cancer,hc,10,0,5
1,-21172.82070783263,0.8,0.0,4.0,2.0,0,cancer,hc,10,0,15
1,-21172.82070783263,0.8,0.0,4.0,2.0,0,cancer,hc,10,0,15
1,-21172.82070783263,0.8,0.0,4.0,2.0,0,cancer,hc,10,0,10
1,-21172.82070783263,0.8,0.0,4.0,2.0,0,cancer,hc,10,0,5
1,-21172.82070783263,0.8,0.0,4.0,2.0,0,cancer,hc,10,0,10
1,-21172.82070783263,0.8,0.0,4.0,2.0,0,cancer,hc,10,0,10
1,-21172.82070783263,0.8,0.0,4.0,2.0,0,cancer,hc,10,0,5
1,-21172.82070783263,0.8,0.0,4.0,2.0,0,cancer,hc,10,0,15
1,-21172.82070783263,0.8,0.0,4.0,2.0,0,cancer,hc,10,0,10
1,-21172.82070783263,0.8,0.0,4.0,2.0,0,cancer,hc,10,0,5
1,-105095.46081516684,0.0,0.0,0.0,2.0,0,cancer,hc,50,0,5
1,-105095.46081516684,0.0,0.0,0.0,2.0,0,cancer,hc,50,0,15
1,-105095.46081516684,0.0,0.0,0.0,2.0,0,cancer,hc,50,0,15
1,-105095.46081516684,0.0,0.0,0.0,2.0,0,cancer,hc,50,0,15
1,-105095.46081516684,0.0,0.0,0.0,2.0,0,cancer,hc,50,0,10
1,-105095.46081516684,0.0,0.0,0.0,2.0,0,cancer,hc,50,0,5
1,-105095.46081516684,0.0,0.0,0.0,2.0,0,cancer,hc,50,0,5
1,-105095.46081516684,0.0,0.0,0.0,2.0,0,cancer,hc,50,0,10
1,-105095.46081516684,0.0,0.0,0.0,2.0,0,cancer,hc,50,0,10
1,-105095.46081516684,0.0,0.0,0.0,2.0,0,cancer,hc,50,0,15
1,-105095.46081516684,0.0,0.0,0.0,2.0,0,cancer,hc,50,0,5
1,-105095.46081516684,0.0,0.0,0.0,2.0,0,cancer,hc,50,0,10
1,-21172.820707832638,0.8,0.0,4.0,2.0,0,cancer,phc,10,8,15
1,-21172.820707832638,0.8,0.0,4.0,2.0,0,cancer,phc,10,2,5
1,-21172.820707832638,0.8,0.0,4.0,2.0,0,cancer,phc,10,2,15
0,-21166.748073496667,0.0,0.0,0.0,3.0,0,cancer,phc,10,6,15
0,-21166.748073496667,0.0,0.0,0.0,3.0,0,cancer,phc,10,4,10
1,-21172.820707832638,0.8,0.0,4.0,2.0,0,cancer,phc,10,8,5
1,-21172.820707832638,0.8,0.0,4.0,2.0,0,cancer,phc,10,2,10
1,-21172.820707832638,0.8,0.0,4.0,2.0,0,cancer,phc,10,8,10
0,-21166.748073496667,0.0,0.0,0.0,3.0,0,cancer,phc,10,6,5
0,-21166.748073496667,0.0,0.0,0.0,3.0,0,cancer,phc,10,4,15
0,-21166.748073496667,0.0,0.0,0.0,3.0,0,cancer,phc,10,6,10
0,-21166.748073496667,0.0,0.0,0.0,3.0,0,cancer,phc,10,4,5
1,-105095.46081516694,0.0,0.0,0.0,2.0,0,cancer,phc,50,2,5
1,-105095.46081516694,0.0,0.0,0.0,3.0,0,cancer,phc,50,8,15
1,-105095.46081516694,0.0,0.0,0.0,2.0,0,cancer,phc,50,2,15
1,-105095.46081516694,0.0,0.0,0.0,3.0,0,cancer,phc,50,6,15
2,-105115.1846267579,0.8,4.0,0.0,3.0,0,cancer,phc,50,4,10
1,-105095.46081516694,0.0,0.0,0.0,3.0,0,cancer,phc,50,8,5
1,-105095.46081516694,0.0,0.0,0.0,3.0,0,cancer,phc,50,6,5
1,-105095.46081516694,0.0,0.0,0.0,2.0,0,cancer,phc,50,2,10
1,-105095.46081516694,0.0,0.0,0.0,3.0,0,cancer,phc,50,8,10
2,-105115.1846267579,0.8,4.0,0.0,3.0,0,cancer,phc,50,4,15
2,-105115.1846267579,0.8,4.0,0.0,3.0,0,cancer,phc,50,4,5
1,-105095.46081516694,0.0,0.0,0.0,3.0,0,cancer,phc,50,6,10
1,-21172.820707832627,0.8,0.0,4.0,,0,cancer,ges,10,0,0
1,-105095.46081516688,0.0,0.0,0.0,,1,cancer,ges,50,0,0
0,-21166.748073496667,0.0,0.0,0.0,3.0,0,cancer,pges,10,8,15
0,-21166.748073496667,0.0,0.0,0.0,3.0,0,cancer,pges,10,2,5
0,-21166.748073496667,0.0,0.0,0.0,3.0,0,cancer,pges,10,2,15
0,-21166.748073496667,0.0,0.0,0.0,3.0,0,cancer,pges,10,6,15
0,-21166.748073496667,0.0,0.0,0.0,3.0,0,cancer,pges,10,4,10
0,-21166.748073496667,0.0,0.0,0.0,3.0,0,cancer,pges,10,8,5
0,-21166.748073496667,0.0,0.0,0.0,3.0,0,cancer,pges,10,2,10
0,-21166.748073496667,0.0,0.0,0.0,3.0,0,cancer,pges,10,8,10
0,-21166.748073496667,0.0,0.0,0.0,3.0,0,cancer,pges,10,6,5
0,-21166.748073496667,0.0,0.0,0.0,3.0,0,cancer,pges,10,4,15
0,-21166.748073496667,0.0,0.0,0.0,3.0,0,cancer,pges,10,6,10
0,-21166.748073496667,0.0,0.0,0.0,3.0,0,cancer,pges,10,4,5
0,-105084.9073852666,0.0,0.0,0.0,2.0,0,cancer,pges,50,2,5
0,-105084.9073852666,0.0,0.0,0.0,2.0,0,cancer,pges,50,8,15
0,-105084.9073852666,0.0,0.0,0.0,2.0,0,cancer,pges,50,2,15
3,-105123.66524315091,1.2,6.0,0.0,2.0,0,cancer,pges,50,6,15
0,-105084.9073852666,0.0,0.0,0.0,2.0,0,cancer,pges,50,4,10
0,-105084.9073852666,0.0,0.0,0.0,2.0,0,cancer,pges,50,8,5
3,-105123.66524315091,1.2,6.0,0.0,2.0,0,cancer,pges,50,6,5
0,-105084.9073852666,0.0,0.0,0.0,2.0,0,cancer,pges,50,2,10
0,-105084.9073852666,0.0,0.0,0.0,2.0,0,cancer,pges,50,8,10
0,-105084.9073852666,0.0,0.0,0.0,2.0,0,cancer,pges,50,4,15
0,-105084.9073852666,0.0,0.0,0.0,2.0,0,cancer,pges,50,4,5
3,-105123.66524315091,1.2,6.0,0.0,2.0,0,cancer,pges,50,6,10
1,-21172.820707832638,0.8,0.0,4.0,2.0,0,cancer,pfhcbes,10,8,15
1,-21172.820707832638,0.8,0.0,4.0,2.0,0,cancer,pfhcbes,10,2,5
1,-21172.820707832638,0.8,0.0,4.0,2.0,0,cancer,pfhcbes,10,2,15
0,-21166.748073496667,0.0,0.0,0.0,3.0,0,cancer,pfhcbes,10,6,15
0,-21166.748073496667,0.0,0.0,0.0,3.0,0,cancer,pfhcbes,10,4,10
1,-21172.820707832638,0.8,0.0,4.0,2.0,0,cancer,pfhcbes,10,8,5
1,-21172.820707832638,0.8,0.0,4.0,2.0,0,cancer,pfhcbes,10,2,10
1,-21172.820707832638,0.8,0.0,4.0,2.0,0,cancer,pfhcbes,10,8,10
0,-21166.748073496667,0.0,0.0,0.0,3.0,0,cancer,pfhcbes,10,6,5
0,-21166.748073496667,0.0,0.0,0.0,3.0,0,cancer,pfhcbes,10,4,15
0,-21166.748073496667,0.0,0.0,0.0,3.0,0,cancer,pfhcbes,10,6,10
0,-21166.748073496667,0.0,0.0,0.0,3.0,0,cancer,pfhcbes,10,4,5
1,-105095.46081516694,0.0,0.0,0.0,3.0,0,cancer,pfhcbes,50,2,5
1,-105095.46081516694,0.0,0.0,0.0,3.0,1,cancer,pfhcbes,50,8,15
1,-105095.46081516694,0.0,0.0,0.0,3.0,1,cancer,pfhcbes,50,2,15
1,-105095.46081516694,0.0,0.0,0.0,3.0,0,cancer,pfhcbes,50,6,15
2,-105115.1846267579,0.8,4.0,0.0,3.0,0,cancer,pfhcbes,50,4,10
1,-105095.46081516694,0.0,0.0,0.0,3.0,0,cancer,pfhcbes,50,8,5
1,-105095.46081516694,0.0,0.0,0.0,3.0,0,cancer,pfhcbes,50,6,5
1,-105095.46081516694,0.0,0.0,0.0,3.0,0,cancer,pfhcbes,50,2,10
1,-105095.46081516694,0.0,0.0,0.0,3.0,0,cancer,pfhcbes,50,8,10
2,-105115.1846267579,0.8,4.0,0.0,3.0,0,cancer,pfhcbes,50,4,15
2,-105115.1846267579,0.8,4.0,0.0,3.0,0,cancer,pfhcbes,50,4,5
1,-105095.46081516694,0.0,0.0,0.0,3.0,0,cancer,pfhcbes,50,6,10
