algorithm,network,bbdd,SHD,BDeu Score,dfMM,dfMM plus,dfMM minus,Total time(s)
fges,alarm,.xbif50001246_.csv,7,-56600.87982962783,14.0,0.0,14.0,0.842
fges,alarm,.xbif50001_.csv,7,-56015.490720116184,14.0,0.0,14.0,1.282
fges,alarm,.xbif50002_.csv,8,-56362.449826560885,16.0,2.0,14.0,1.212
fges,alarm,.xbif50003_.csv,7,-56139.433833754614,14.0,0.0,14.0,0.906
fges,alarm,.xbif50004_.csv,7,-56445.43457797662,14.0,0.0,14.0,0.742
fges,alarm,.xbif50005_.csv,10,-57827.916073627064,24.0,8.0,16.0,0.965
fges,alarm,.xbif50006_.csv,9,-56262.1923300424,18.0,2.0,16.0,1.033
fges,alarm,.xbif50007_.csv,7,-56297.356184138975,14.0,0.0,14.0,0.943
fges,alarm,.xbif50008_.csv,7,-56729.61646919068,14.0,0.0,14.0,0.824
fges,alarm,.xbif50009_.csv,8,-56957.22846382695,16.0,2.0,14.0,0.811
fges,alarm,.xbif_.csv,10,-56631.335924696374,22.0,6.0,16.0,1.25
fges,andes,.xbif50001246_.csv,194,-475934.5912344279,416.0,62.0,354.0,10.367
fges,andes,.xbif50001_.csv,177,-476177.6270533055,386.0,48.0,338.0,8.161
fges,andes,.xbif50002_.csv,166,-476101.3235810111,358.0,54.0,304.0,9.689
fges,andes,.xbif50003_.csv,183,-475000.8573852745,392.0,56.0,336.0,8.577
fges,andes,.xbif50004_.csv,179,-475384.2205084151,388.0,64.0,324.0,8.995
fges,andes,.xbif50005_.csv,168,-475828.3898622649,362.0,52.0,310.0,10.963
fges,andes,.xbif50006_.csv,170,-475464.60012003116,366.0,54.0,312.0,8.487
fges,andes,.xbif50007_.csv,190,-475890.66717701877,404.0,62.0,342.0,9.646
fges,andes,.xbif50008_.csv,190,-476822.59633548197,412.0,54.0,358.0,7.762
fges,andes,.xbif50009_.csv,176,-476212.4651077608,378.0,46.0,332.0,7.218
fges,andes,.xbif_.csv,179,-476544.93113975605,390.0,56.0,334.0,8.372
fges,barley,.xbif50001246_.csv,55,-362401.2366679569,132.0,6.0,126.0,5.388
fges,barley,.xbif50001_.csv,56,-361242.7122987483,134.0,6.0,128.0,4.947
fges,barley,.xbif50002_.csv,55,-360055.25158562214,132.0,6.0,126.0,4.873
fges,barley,.xbif50003_.csv,55,-361508.3379886703,132.0,6.0,126.0,4.864
fges,barley,.xbif50004_.csv,55,-355698.243240469,132.0,6.0,126.0,6.47
fges,barley,.xbif50005_.csv,58,-353510.89738220884,138.0,8.0,130.0,4.512
fges,barley,.xbif50006_.csv,55,-361323.3466819551,132.0,6.0,126.0,4.583
fges,barley,.xbif50007_.csv,56,-358979.91273688985,134.0,6.0,128.0,4.301
fges,barley,.xbif50008_.csv,56,-362376.70226679754,134.0,6.0,128.0,14.997
fges,barley,.xbif50009_.csv,56,-363564.3796694427,134.0,6.0,128.0,5.401
fges,barley,.xbif_.csv,58,-351093.9343744589,138.0,8.0,130.0,4.992
fges,child,.xbif50001246_.csv,5,-63558.315690592855,12.0,4.0,8.0,6.857
fges,child,.xbif50001_.csv,4,-62836.50729427046,8.0,0.0,8.0,2.901
fges,child,.xbif50002_.csv,4,-63136.54980533872,8.0,0.0,8.0,2.775
fges,child,.xbif50003_.csv,4,-63038.22435565979,8.0,0.0,8.0,3.056
fges,child,.xbif50004_.csv,5,-63380.15680168916,12.0,4.0,8.0,6.916
fges,child,.xbif50005_.csv,4,-63298.330382228436,8.0,0.0,8.0,2.833
fges,child,.xbif50006_.csv,4,-63516.02402264353,8.0,0.0,8.0,2.616
fges,child,.xbif50007_.csv,6,-63509.0666574619,12.0,0.0,12.0,2.597
fges,child,.xbif50008_.csv,4,-63115.72636748376,8.0,0.0,8.0,2.523
fges,child,.xbif50009_.csv,4,-63707.15915784441,8.0,0.0,8.0,2.84
fges,child,.xbif_.csv,5,-62958.333565448294,12.0,4.0,8.0,7.084
fges,earthquake,.xbif50001246_.csv,0,-2408.391484530776,0.0,0.0,0.0,0.01
fges,earthquake,.xbif50001_.csv,0,-2300.776765837838,0.0,0.0,0.0,0.009
fges,earthquake,.xbif50002_.csv,0,-2316.962264749576,0.0,0.0,0.0,0.009
fges,earthquake,.xbif50003_.csv,0,-2312.7756226127585,0.0,0.0,0.0,0.009
fges,earthquake,.xbif50004_.csv,0,-2373.351518788437,0.0,0.0,0.0,0.009
fges,earthquake,.xbif50005_.csv,0,-2337.029294339324,0.0,0.0,0.0,0.009
fges,earthquake,.xbif50006_.csv,0,-2452.806223894818,0.0,0.0,0.0,0.009
fges,earthquake,.xbif50007_.csv,0,-2667.1590857049905,0.0,0.0,0.0,0.01
fges,earthquake,.xbif50008_.csv,0,-2430.3589814325333,0.0,0.0,0.0,0.01
fges,earthquake,.xbif50009_.csv,0,-2342.1633179910577,0.0,0.0,0.0,0.01
fges,earthquake,.xbif_.csv,0,-2263.4870910235027,0.0,0.0,0.0,0.01
fges,hailfinder,.xbif50001246_.csv,52,-259814.42530645698,104.0,32.0,72.0,1076.723
fges,hailfinder,.xbif50001_.csv,38,-259924.27464390633,76.0,16.0,60.0,1114.104
fges,hailfinder,.xbif50002_.csv,50,-260034.51498379538,100.0,30.0,70.0,1293.897
fges,hailfinder,.xbif50003_.csv,49,-259805.7683960782,100.0,30.0,70.0,1045.105
fges,hailfinder,.xbif50004_.csv,44,-260456.34093743277,88.0,24.0,64.0,1047.69
fges,hailfinder,.xbif50005_.csv,43,-260157.64862858897,86.0,24.0,62.0,807.703
fges,hailfinder,.xbif50006_.csv,43,-260214.09427136715,86.0,22.0,64.0,1007.442
fges,hailfinder,.xbif50007_.csv,40,-259752.13248444098,80.0,20.0,60.0,1123.136
fges,hailfinder,.xbif50008_.csv,42,-259740.72344863968,84.0,20.0,64.0,1020.558
fges,hailfinder,.xbif50009_.csv,44,-259723.09800275016,88.0,26.0,62.0,1180.207
fges,hailfinder,.xbif_.csv,38,-259778.36664547765,76.0,16.0,60.0,918.044
fges,hepar2,.xbif50001246_.csv,90,-166299.71667869546,288.0,10.0,278.0,1.107
fges,hepar2,.xbif50001_.csv,88,-165878.53497355233,264.0,12.0,252.0,1.144
fges,hepar2,.xbif50002_.csv,83,-165707.776612353,256.0,2.0,254.0,0.936
fges,hepar2,.xbif50003_.csv,86,-166074.02807956142,280.0,4.0,276.0,1.044
fges,hepar2,.xbif50004_.csv,89,-166005.94806064828,276.0,8.0,268.0,1.027
fges,hepar2,.xbif50005_.csv,85,-166482.30852365124,268.0,6.0,262.0,1.036
fges,hepar2,.xbif50006_.csv,82,-166465.0673698056,256.0,4.0,252.0,0.998
fges,hepar2,.xbif50007_.csv,88,-165687.88049408636,268.0,10.0,258.0,1.04
fges,hepar2,.xbif50008_.csv,82,-165842.1340576241,266.0,2.0,264.0,1.16
fges,hepar2,.xbif50009_.csv,88,-165991.64145127957,284.0,10.0,274.0,1.254
fges,hepar2,.xbif_.csv,96,-165830.75984685725,294.0,16.0,278.0,1.216
fges,insurance,.xbif50001246_.csv,24,-71013.5372155353,52.0,4.0,48.0,0.598
fges,insurance,.xbif50001_.csv,20,-70975.68240790274,44.0,0.0,44.0,0.641
fges,insurance,.xbif50002_.csv,24,-70639.4326544954,50.0,4.0,46.0,0.94
fges,insurance,.xbif50003_.csv,20,-70850.31072322611,44.0,0.0,44.0,0.679
fges,insurance,.xbif50004_.csv,22,-70575.37008642133,46.0,4.0,42.0,0.652
fges,insurance,.xbif50005_.csv,20,-71047.85301589519,44.0,0.0,44.0,0.682
fges,insurance,.xbif50006_.csv,24,-71221.32892289154,52.0,4.0,48.0,0.651
fges,insurance,.xbif50007_.csv,24,-70814.90645730979,52.0,4.0,48.0,0.628
fges,insurance,.xbif50008_.csv,24,-70855.57887353569,52.0,4.0,48.0,0.601
fges,insurance,.xbif50009_.csv,25,-70915.61913702227,54.0,4.0,50.0,0.651
fges,insurance,.xbif_.csv,24,-71313.30469754152,52.0,4.0,48.0,0.653
fges,link,.xbif50001246_.csv,1083,-1336113.488722109,2246.0,860.0,1386.0,254.108
fges,link,.xbif50001_.csv,1087,-1352131.559173288,2302.0,930.0,1372.0,285.951
fges,link,.xbif50002_.csv,1065,-1383074.0650773523,2222.0,854.0,1368.0,275.201
fges,link,.xbif50003_.csv,1071,-1330855.5741805914,2224.0,840.0,1384.0,253.896
fges,link,.xbif50004_.csv,1120,-1361849.8929300716,2354.0,958.0,1396.0,245.863
fges,link,.xbif50005_.csv,1048,-1371721.2876206294,2168.0,878.0,1290.0,376.12
fges,link,.xbif50006_.csv,1090,-1380064.532117734,2290.0,924.0,1366.0,282.589
fges,link,.xbif50007_.csv,1090,-1378037.5741110553,2264.0,870.0,1394.0,281.33
fges,link,.xbif50008_.csv,1107,-1402586.884603212,2350.0,962.0,1388.0,270.247
fges,link,.xbif50009_.csv,1113,-1529303.2794490366,2352.0,996.0,1356.0,325.186
fges,link,.xbif_.csv,1057,-1357296.9566358044,2214.0,866.0,1348.0,271.193
fges,mildew,.xbif50001246_.csv,46,-420351.96079060715,98.0,8.0,90.0,727.356
fges,mildew,.xbif50001_.csv,44,-434782.64966084727,94.0,8.0,86.0,765.9
fges,mildew,.xbif50002_.csv,44,-433029.82454223273,94.0,8.0,86.0,773.787
fges,mildew,.xbif50003_.csv,46,-424727.78329089266,98.0,8.0,90.0,1151.195
fges,mildew,.xbif50004_.csv,46,-414067.0731549239,98.0,8.0,90.0,759.736
fges,mildew,.xbif50005_.csv,46,-420480.44947137055,98.0,8.0,90.0,761.997
fges,mildew,.xbif50006_.csv,44,-422969.11537366675,94.0,8.0,86.0,2229.652
fges,mildew,.xbif50007_.csv,44,-422898.0610576961,94.0,8.0,86.0,743.256
fges,mildew,.xbif50008_.csv,46,-424883.5945056086,98.0,8.0,90.0,698.957
fges,mildew,.xbif50009_.csv,46,-417781.33595778234,98.0,8.0,90.0,710.903
fges,mildew,.xbif_.csv,46,-427377.2513647288,98.0,8.0,90.0,803.417
fges,munin,.xbif50001246_.csv,1423,-1239716.3049866196,3096.0,894.0,2202.0,18497.838
fges,munin,.xbif50001_.csv,1471,-1294266.016009347,3152.0,978.0,2174.0,7884.691
fges,munin,.xbif50002_.csv,1485,-1277254.178594974,3262.0,952.0,2310.0,10794.965
fges,munin,.xbif50003_.csv,1489,-1261556.4179488113,3220.0,976.0,2244.0,7275.019
fges,munin,.xbif50004_.csv,1503,-1275975.5515902143,3260.0,1022.0,2238.0,7923.881
fges,munin,.xbif50005_.csv,1508,-1304414.2811449473,3278.0,1012.0,2266.0,11011.137
fges,munin,.xbif50006_.csv,1478,-1268371.7045632363,3112.0,956.0,2156.0,9923.447
fges,munin,.xbif50007_.csv,1461,-1421612.8844906937,3150.0,960.0,2190.0,11106.317
fges,munin,.xbif50008_.csv,1550,-1292049.6862025734,3338.0,1092.0,2246.0,6677.838
fges,munin,.xbif50009_.csv,1471,-1268304.7277959674,3186.0,950.0,2236.0,7637.795
fges,munin,.xbif_.csv,1504,-1294674.3438684177,3300.0,1050.0,2250.0,12046.61
fges,pigs,.xbif50001246_.csv,301,-1769069.2058232706,640.0,452.0,188.0,105.743
fges,pigs,.xbif50001_.csv,311,-1768789.7723355787,682.0,474.0,208.0,103.716
fges,pigs,.xbif50002_.csv,307,-1767627.5455597702,640.0,462.0,178.0,106.365
fges,pigs,.xbif50003_.csv,304,-1768681.399342903,650.0,460.0,190.0,100.469
fges,pigs,.xbif50004_.csv,318,-1771420.6702235304,676.0,484.0,192.0,95.483
fges,pigs,.xbif50005_.csv,302,-1770376.0448643595,648.0,458.0,190.0,100.115
fges,pigs,.xbif50006_.csv,305,-1770508.9779966117,640.0,460.0,180.0,100.38
fges,pigs,.xbif50007_.csv,321,-1770270.0713247051,694.0,486.0,208.0,106.938
fges,pigs,.xbif50008_.csv,313,-1769977.552280861,674.0,472.0,202.0,91.482
fges,pigs,.xbif50009_.csv,310,-1771036.2500676457,662.0,468.0,194.0,88.561
fges,pigs,.xbif_.csv,309,-1769170.1310791965,654.0,462.0,192.0,92.106
fges,water,.xbif50001246_.csv,92,-67237.61462661457,220.0,6.0,214.0,0.242
fges,water,.xbif50001_.csv,88,-67131.12341374693,212.0,2.0,210.0,0.269
fges,water,.xbif50002_.csv,85,-67367.86555813151,208.0,4.0,204.0,0.239
fges,water,.xbif50003_.csv,88,-67417.25301347281,214.0,4.0,210.0,0.225
fges,water,.xbif50004_.csv,91,-67215.07828078294,220.0,6.0,214.0,0.256
fges,water,.xbif50005_.csv,88,-67027.90480808122,214.0,4.0,210.0,0.23
fges,water,.xbif50006_.csv,82,-67512.90277655878,202.0,4.0,198.0,0.232
fges,water,.xbif50007_.csv,91,-67575.85711008054,220.0,8.0,212.0,0.269
fges,water,.xbif50008_.csv,93,-67145.68864238329,224.0,8.0,216.0,0.451
fges,water,.xbif50009_.csv,90,-66987.34630957928,216.0,4.0,212.0,0.273
fges,water,.xbif_.csv,87,-67152.01697977394,212.0,4.0,208.0,0.306
fges,win95pts,.xbif50001246_.csv,90,-51403.30907400574,220.0,116.0,104.0,3.098
fges,win95pts,.xbif50001_.csv,63,-50431.956532896715,160.0,82.0,78.0,3.058
fges,win95pts,.xbif50002_.csv,60,-51712.7600581072,156.0,94.0,62.0,3.249
fges,win95pts,.xbif50003_.csv,68,-50129.88720106519,166.0,78.0,88.0,3.078
fges,win95pts,.xbif50004_.csv,64,-50844.55022704492,166.0,98.0,68.0,3.596
fges,win95pts,.xbif50005_.csv,60,-51311.31085572761,140.0,68.0,72.0,3.145
fges,win95pts,.xbif50006_.csv,82,-51091.396811325525,194.0,90.0,104.0,3.033
fges,win95pts,.xbif50007_.csv,79,-51304.29231631272,182.0,100.0,82.0,3.165
fges,win95pts,.xbif50008_.csv,65,-51017.087026320376,170.0,96.0,74.0,2.934
fges,win95pts,.xbif50009_.csv,71,-51347.76843489132,190.0,100.0,90.0,3.211
fges,win95pts,.xbif_.csv,82,-50690.078668856906,214.0,116.0,98.0,3.278
